,time,[Ac],[C1__Ac],[C1__Glcxt],[C1__O2],[C1__X],[Glcxt],[O2],[X],[dummy],C1__v1,C1__v2,C1__v3,C1__v4,C2__a_uptake,C2__g_uptake,C2__growth,C2__o_uptake,a_uptake,g_uptake,growth,o2_transport,o_uptake,C1__default_max,C1__default_min,C1__default_neg_min,C2__Km,C3__Km,C3__max_X,Km,X_max,X_min,a_rate_uptake,a_uptake_max,a_uptake_min,dt,g_rate_uptake,g_uptake_max,g_uptake_min,o_rate_uptake,o_uptake_max,o_uptake_min,x_rate_growth
0.0,0.0,0.4,0.0,0.0,0.0,0.0,10.8,0.21,0.001,0.0,0.03889820465635709,1.0556163186553793,0.0,0.0,0.0015337562096001602,0.009986130374479889,0.0010945145233117364,0.014999999999999998,1.5337562096001602,9.986130374479888,1.0945145233117364,0.0,14.999999999999998,1000.0,0.0,-1000.0,0.001,0.015,0.011945145233117363,0.015,1000.0,-1000.0,1.5337562096001602,1000.0,-1000.0,0.01,9.986130374479888,9.986130374479888,0.0,14.999999999999998,15.0,0.0,1.0945145233117364
0.01,0.01,0.3999845781949116,0.0,0.0,0.0,0.0,10.799899590198724,0.20985468328217102,0.0010110052624657455,0.0,0.03889820968119047,1.055616305043214,0.0,0.0,0.0015506357995549204,0.010096030230079949,0.0011065599342315144,0.015165078936986171,1.5337564077293402,9.986130245708804,1.0945145147244044,0.0010898753837172703,14.99999999999999,1000.0,0.0,-1000.0,0.001,0.015,0.01195615040970979,0.015,1000.0,-1000.0,1.5337564077293402,1000.0,-1000.0,0.01,9.986130245708804,9.986130245708804,0.0,14.99999999999999,15.0,0.0,1.0945145147244044
0.02,0.02,0.39996898666679737,0.0,0.0,0.0,0.0,10.799798075362531,0.2097182673951347,0.0010221316406455849,0.0,0.03889821476141871,1.0556162912809863,0.0,0.0,0.001567701158129733,0.01020713955867483,0.0011187379077715154,0.015331974609683772,1.5337566080427398,9.986130115518131,1.094514506042405,0.002112994536489776,14.999999999999998,1000.0,0.0,-1000.0,0.001,0.015,0.011967276701069635,0.015,1000.0,-1000.0,1.5337566080427398,1000.0,-1000.0,0.01,9.986130115518131,9.986130115518131,0.0,14.999999999999998,15.0,0.0,1.094514506042405
0.03,0.03,0.39995322354776724,0.0,0.0,0.0,0.0,10.799695443330274,0.20959009159575187,0.001033380467446908,0.0,0.03889821989765281,1.0556162773670394,0.0,0.0,0.0015849543298509703,0.010319471670740099,0.0011310499028108051,0.015500707011703618,1.5337568105644503,9.986129983892194,1.0945144972646923,0.003074313031860912,14.999999999999998,1000.0,0.0,-1000.0,0.001,0.015,0.011978525440093831,0.015,1000.0,-1000.0,1.5337568105644503,1000.0,-1000.0,0.01,9.986129983892194,9.986129983892194,0.0,14.999999999999998,15.0,0.0,1.0945144972646923
0.04,0.04,0.39993728694937375,0.0,0.0,0.0,0.0,10.79959168180696,0.20946954269017407,0.0010447530904459826,0.0,0.03889822509051163,1.0556162632996975,0.0,0.0,0.0016023973817475994,0.010433040023233996,0.0011434973942835746,0.015671296356689738,1.5337570153188735,9.98612985081514,1.0945144883902092,0.0039784298236944515,14.999999999999998,1000.0,0.0,-1000.0,0.001,0.015,0.011989897974348076,0.015,1000.0,-1000.0,1.5337570153188735,1000.0,-1000.0,0.01,9.98612985081514,9.98612985081514,0.0,14.999999999999998,15.0,0.0,1.0945144883902092
0.05,0.05,0.3999211749623861,0.0,0.0,0.0,0.0,10.79948677836228,0.20935605159601872,0.0010562508720493651,0.0,0.03889823034062044,1.0556162490772667,0.0,0.0,0.0016200324035987757,0.010547858221209265,0.0011560818733558002,0.015843763080740477,1.533757222330664,9.986129716270945,1.0945144794178872,0.004829613029859528,15.000000000000002,1000.0,0.0,-1000.0,0.001,0.015,0.012001395666228237,0.015,1000.0,-1000.0,1.533757222330664,1000.0,-1000.0,0.01,9.986129716270945,9.986129716270945,0.0,15.000000000000002,15.0,0.0,1.0945144794178872
0.06,0.06,0.39990488565656096,0.0,0.0,0.0,0.0,10.79938072042913,0.20924909015279125,0.001067875189657205,0.0,0.03889823564861139,1.055616234698034,0.0,0.0,0.0016378615081844242,0.010663940019443846,0.001168804847603979,0.016018127844858072,1.533757431624747,9.986129580243402,1.0945144703466454,0.005631823854065562,14.999999999999998,1000.0,0.0,-1000.0,0.001,0.015,0.012013019893123658,0.015,1000.0,-1000.0,1.533757431624747,1000.0,-1000.0,0.01,9.986129580243402,9.986129580243402,0.0,14.999999999999998,15.0,0.0,1.0945144703466454
0.07,0.07,0.39988841708041034,0.0,0.0,0.0,0.0,10.799273495302097,0.20914816816284615,0.001079627435828224,0.0,0.038898241015124006,1.0556162201602677,0.0,0.0,0.0016558868315383931,0.010781299324088351,0.0011816678411956983,0.016194411537423358,1.5337576432263396,9.986129442716132,1.0945144611753916,0.006388738778653827,14.999999999999998,1000.0,0.0,-1000.0,0.001,0.015,0.012024772047582141,0.015,1000.0,-1000.0,1.5337576432263396,1000.0,-1000.0,0.01,9.986129442716132,9.986129442716132,0.0,14.999999999999998,15.0,0.0,1.0945144611753916
0.08,0.08,0.3998717672609693,0.0,0.0,0.0,0.0,10.799165090135958,0.20905283064620403,0.001091509018446525,0.0,0.03889824644080469,1.0556162054622162,0.0,0.0,0.001674110533204371,0.010899950194331723,0.0011946723950722027,0.016372635276697873,1.533757857160929,9.986129303672566,1.094514451903021,0.007103770153469718,14.999999999999998,1000.0,0.0,-1000.0,0.001,0.015,0.012036653537476735,0.015,1000.0,-1000.0,1.533757857160929,1000.0,-1000.0,0.01,9.986129303672566,9.986129303672566,0.0,14.999999999999998,15.0,0.0,1.094514451903021
0.09,0.09,0.39985493420355867,0.0,0.0,0.0,0.0,10.799055491944111,0.2089626552935673,0.001103521360890296,0.0,0.038898251926307026,1.0556161906021095,0.0,0.0,0.0016925347964947522,0.011019906844085926,0.001207820067133042,0.016552820413354444,1.533758073454286,9.986129163095958,1.0945144425284166,0.007780085298245143,15.000000000000002,1000.0,0.0,-1000.0,0.001,0.015,0.012048665786174462,0.015,1000.0,-1000.0,1.533758073454286,1000.0,-1000.0,0.01,9.986129163095958,9.986129163095958,0.0,15.000000000000002,15.0,0.0,1.0945144425284166
