time,dt,lb_EX_A,ub_EX_A,lb_EX_C,ub_EX_C,pEX_A,pEX_C,k_R4,ub_R1,A,C,dummy_S,D,EX_A,EX_C,R4,update__pEX_A,update__pEX_C,update__A,update__C,update__update_A,update__update_C,bounds__dt,bounds__lb_EX_A,bounds__ub_EX_A,bounds__lb_EX_C,bounds__ub_EX_C,bounds__lb_default,bounds__ub_R1,bounds__k1,bounds__A,bounds__C,fba__ub_R1,fba__zero,fba__ub_default,fba__lb_EX_A,fba__ub_EX_A,fba__lb_EX_C,fba__ub_EX_C,fba__A,fba__C,fba__B1,fba__B2,fba__R1,fba__R2,fba__R3,fba__EX_A,fba__EX_C
0.0,5.0,-2.0,1000.0,-0.0,1000.0,-1.0,1.0,0.1,1.0,10.0,0.0,0.0,0.0,-1.0,1.0,0.0,-1.0,1.0,10.0,0.0,-0.0,-0.0,5.0,-2.0,1000.0,-0.0,1000.0,-1000.0,1.0,-0.2,10.0,0.0,1.0,0.0,1000.0,-2.0,1000.0,-0.0,1000.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,-1.0,1.0
1.0,5.0,-1.8,1000.0,-0.1903251639678627,1000.0,-1.0,1.0,0.1,0.8187307518823782,9.0,0.9516258198393135,0.0,0.04837418016068652,-1.0,1.0,0.0,-1.0,1.0,9.0,0.9516258198393135,0.0,0.0,5.0,-1.8,1000.0,-0.1903251639678627,1000.0,-1000.0,0.8187307518823782,-0.2,9.0,0.9516258198393135,0.8187307518823782,0.0,1000.0,-1.8,1000.0,-0.1903251639678627,1000.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,-1.0,1.0
2.0,5.0,-1.6,1000.0,-0.36253849411736017,1000.0,-1.0,1.0,0.1,0.6703200384913102,8.0,1.8126924705868008,0.0,0.18730752941319906,-1.0,1.0,0.0,-1.0,1.0,8.0,1.8126924705868008,0.0,0.0,5.0,-1.6,1000.0,-0.36253849411736017,1000.0,-1000.0,0.6703200384913102,-0.2,8.0,1.8126924705868008,0.6703200384913102,0.0,1000.0,-1.6,1000.0,-0.36253849411736017,1000.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,-1.0,1.0
3.0,5.0,-1.4,1000.0,-0.5183635590459433,1000.0,-1.0,1.0,0.1,0.5488116258706759,7.0,2.5918177952297166,0.0,0.40818220477028366,-1.0,1.0,0.0,-1.0,1.0,7.0,2.5918177952297166,0.0,0.0,5.0,-1.4,1000.0,-0.5183635590459433,1000.0,-1000.0,0.5488116258706759,-0.2,7.0,2.5918177952297166,0.5488116258706759,0.0,1000.0,-1.4,1000.0,-0.5183635590459433,1000.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,-1.0,1.0
4.0,5.0,-1.2,1000.0,-0.6593599084210446,1000.0,-1.0,1.0,0.1,0.44932895299738745,6.0,3.296799542105223,0.0,0.7032004578947775,-1.0,1.0,0.0,-1.0,1.0,6.0,3.296799542105223,0.0,0.0,5.0,-1.2,1000.0,-0.6593599084210446,1000.0,-1000.0,0.44932895299738745,-0.2,6.0,3.296799542105223,0.44932895299738745,0.0,1000.0,-1.2,1000.0,-0.6593599084210446,1000.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,-1.0,1.0
5.0,5.0,-1.1101342094000002,1000.0,-0.6821321237458176,1000.0,-0.449328953,0.449328953,0.1,0.36787943020250125,5.550671047000001,3.4106606187290875,0.0,1.0386683342709127,-0.449328953,0.449328953,0.0,-0.449328953,0.449328953,5.550671047000001,3.4106606187290875,0.0,0.0,5.0,-1.1101342094000002,1000.0,-0.6821321237458176,1000.0,-1000.0,0.36787943020250125,-0.2,5.550671047000001,3.4106606187290875,0.36787943020250125,0.0,1000.0,-1.1101342094000002,1000.0,-0.6821321237458176,1000.0,0.0,0.0,0.0,0.0,0.449328953,0.449328953,0.449328953,-0.449328953,0.449328953
6.0,5.0,-1.0202684188000002,1000.0,-0.7027372762595872,1000.0,-0.449328953,0.449328953,0.1,0.30119420162371535,5.101342094000001,3.5136863812979358,0.0,1.3849715247020646,-0.449328953,0.449328953,0.0,-0.449328953,0.449328953,5.101342094000001,3.5136863812979358,0.0,0.0,5.0,-1.0202684188000002,1000.0,-0.7027372762595872,1000.0,-1000.0,0.30119420162371535,-0.2,5.101342094000001,3.5136863812979358,0.30119420162371535,0.0,1000.0,-1.0202684188000002,1000.0,-0.7027372762595872,1000.0,0.0,0.0,0.0,0.0,0.449328953,0.449328953,0.449328953,-0.449328953,0.449328953
7.0,5.0,-0.9304026282000004,1000.0,-0.7213815892561265,1000.0,-0.449328953,0.449328953,0.1,0.24659695454618588,4.652013141000002,3.6069079462806326,0.0,1.7410789127193678,-0.449328953,0.449328953,0.0,-0.449328953,0.449328953,4.652013141000002,3.6069079462806326,0.0,0.0,5.0,-0.9304026282000004,1000.0,-0.7213815892561265,1000.0,-1000.0,0.24659695454618588,-0.2,4.652013141000002,3.6069079462806326,0.24659695454618588,0.0,1000.0,-0.9304026282000004,1000.0,-0.7213815892561265,1000.0,0.0,0.0,0.0,0.0,0.449328953,0.449328953,0.449328953,-0.449328953,0.449328953
8.0,5.0,-0.8405368376000002,1000.0,-0.7382516612874206,1000.0,-0.449328953,0.449328953,0.1,0.20189650955400823,4.202684188000001,3.6912583064371027,0.0,2.106057505562897,-0.449328953,0.449328953,0.0,-0.449328953,0.449328953,4.202684188000001,3.6912583064371027,0.0,0.0,5.0,-0.8405368376000002,1000.0,-0.7382516612874206,1000.0,-1000.0,0.20189650955400823,-0.2,4.202684188000001,3.6912583064371027,0.20189650955400823,0.0,1000.0,-0.8405368376000002,1000.0,-0.7382516612874206,1000.0,0.0,0.0,0.0,0.0,0.449328953,0.449328953,0.449328953,-0.449328953,0.449328953
9.0,5.0,-0.7506710470000002,1000.0,-0.7535163337051595,1000.0,-0.449328953,0.449328953,0.1,0.16529888072088855,3.7533552350000012,3.7675816685257972,0.0,2.479063096474202,-0.449328953,0.449328953,0.0,-0.449328953,0.449328953,3.7533552350000012,3.7675816685257972,0.0,0.0,5.0,-0.7506710470000002,1000.0,-0.7535163337051595,1000.0,-1000.0,0.16529888072088855,-0.2,3.7533552350000012,3.7675816685257972,0.16529888072088855,0.0,1000.0,-0.7506710470000002,1000.0,-0.7535163337051595,1000.0,0.0,0.0,0.0,0.0,0.449328953,0.449328953,0.449328953,-0.449328953,0.449328953
